"","x"
"1085","AK033912;Srpk2"
"1086","AK033930"
"1087","AK033986;AK050437;Ercc6l2"
"1088","AK034234;Fut11"
"1089","AK034260;R3hdm1"
"1090","AK034278"
"1091","AK034330"
"1092","AK034341"
"1093","AK034363"
"1094","AK034420;Hnrnpll"
"1095","AK034421"
"1096","AK034441"
"1097","AK034456;Svip"
"1098","AK034494"
"1099","AK034502"
"1100","AK034519;AK136882;Mir1895"
"1101","AK034568;Clmp"
"1102","AK034630"
"1103","AK034707;Pdlim5"
"1104","AK034716;AK161911;Pigb"
"1105","AK034727"
"1106","AK034775;Gabpb1"
"1107","AK034781;Fam172a"
"1108","AK034926;Lrrcc1"
"1109","AK034991;Atp2a2"
"1110","AK035006"
"1111","AK035037;Slc25a36"
"1112","AK035052;C530005A16Rik"
"1113","AK035058"
"1114","AK035080;Zcrb1"
"1115","AK035085"
"1116","AK035124"
"1117","AK035229"
"1118","AK035263"
"1119","AK035275"
"1120","AK035331"
"1121","AK035387"
"1122","AK035444"
"1123","AK035451;Csnk1g1"
"1124","AK035466"
"1125","AK035482"
"1126","AK035514"
"1127","AK035517;Stpg1"
"1128","AK035544"
"1129","AK035573"
"1130","AK035591"
"1131","AK035606;Nup153"
"1132","AK035625"
"1133","AK035649;Hook3"
"1134","AK035651"
"1135","AK035738;AK079222"
"1136","AK035742"
"1137","AK035761"
"1138","AK035770;Usmg5"
"1139","AK035785"
"1140","AK035826"
"1141","AK035829"
"1142","AK035842;Unc5c"
"1143","AK035891;Mbd2"
"1144","AK035950"
"1145","AK035979"
"1146","AK035994"
"1147","AK036016;Ndrg3"
"1148","AK036019;Als2;Mpp4"
"1149","AK036025"
"1150","AK036072;Fbxo36"
"1151","AK036293"
